,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,wfe
71,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.15102699503438288
72,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.6370745122454796
73,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.6584885404198868
74,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.2584659414256706
75,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.23757813600531283
76,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.4792145560074221
77,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.5018863398320685
78,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.19772578617552475
79,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.17819559675033314
80,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.31979613975061005
81,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.345014937469258
82,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.1384705769488568
83,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.12199767435401372
84,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.15754095040126043
85,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.18995053666705847
86,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.08494749474711642
87,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.0776925300757525
88,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.016132102547306855
89,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.07719482698331631
90,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06079847062533252
91,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.07553486935975236
92,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.17806869608471942
93,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.17856447954008445
94,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.09541370928424338
95,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.11968330601897817
96,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.3442082715373717
97,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.3365552228402287
98,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.1527156011353566
99,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.17810104712027516
100,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.5101692530901133
101,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.49976686903089274
102,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.21518648687673642
103,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.2405609737787082
104,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.677564361455839
105,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.6658268706120379
106,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.2799600844136951
107,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.30516997243571325
108,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.08666465617384231
109,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.12777870538665084
110,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06803626269147627
111,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06940701472054266
112,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.06457021888984787
113,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.11068658677704399
114,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06441181423339215
115,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06903748877399872
116,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.04177569859617555
117,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.09516298381387991
118,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06178759374683852
119,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06989443756109281
120,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.02014279773113553
121,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.08318696665167051
122,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.060508081930170536
123,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.07206766622312284
124,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.016132102546164016
125,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.07719482724047791
126,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.060798470625739204
127,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.07553486922036859
128,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.037404653694695034
129,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.0791418450963401
130,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06275174585381575
131,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.08021797860838666
132,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.06256846465870557
133,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.0890273628744949
134,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06633206127937236
135,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.0860039253113695
136,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.08889338669504283
137,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.10507703578710688
138,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.07140052082354736
139,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.09276783328907517
140,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.11599454154241562
141,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.12531542185281114
142,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.07776229421124072
143,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.10038535035285381
